"","fragment.ID.full","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","genotype","log.rate","K","fitted","residuals"
"150","M502c_3203","M502c",32,"T2",31.26550871,1.000322637,"GP","light","M502c","M5",0.693308486049515,304.41550871,0.649980878842628,0.043327607206887
"151","M502c_3304","M502c",33,"T2",32.4080494,0.577633383,"GP","light","M502c","M5",0.455925865266083,305.5580494,0.493490548889503,-0.0375646836234192
"152","M502c_3406","M502c",34,"T2",33.15373923,0.205865564,"GP","light","M502c","M5",0.187197619454642,306.30373923,0.242367891356193,-0.0551702719015509
"153","M502d_2702","M502d",27,"T2",26.21446392,0.858580906,"GP","light","M502d","M5",0.619813242764324,299.36446392,0.609561339082763,0.0102519036815609
"154","M502d_2804","M502d",28,"T2",27.17158092,0.89956845,"GP","light","M502d","M5",0.641626728795164,300.32158092,0.63143921638246,0.0101875124127037
"155","M502d_2905","M502d",29,"T2",28.41419884,0.906230857,"GP","light","M502d","M5",0.645127919093653,301.56419884,0.658031918808427,-0.012903999714774
"156","M502d_3001","M502d",30,"T2",29.04320002,1.067044021,"GP","light","M502d","M5",0.726119577521715,302.19320002,0.669419054189978,0.056700523331737
"157","M502d_3103","M502d",31,"T2",30.22069823,1.211282714,"GP","light","M502d","M5",0.793572760729512,303.37069823,0.679049787443329,0.114522973286183
"158","M502d_3204","M502d",32,"T2",31.18202811,1.026972485,"GP","light","M502d","M5",0.706543293130075,304.33202811,0.654853138189101,0.0516901549409744
"159","M502d_3306","M502d",33,"T2",32.57268405,0.440391908,"GP","light","M502d","M5",0.364915234892882,305.72268405,0.450938677152587,-0.0860234422597053
"160","M502d_3401","M502d",34,"T2",33.07559217,0.322038429,"GP","light","M502d","M5",0.279174809842102,306.22559217,0.276201695982041,0.00297311386006138
"161","M602a_2701","M602a",27,"T2",26.43866805,0.871503758,"GP","light","M602a","M6",0.626742256375292,299.58866805,0.608223340795074,0.0185189155802173
"162","M602a_2803","M602a",28,"T2",27.07756725,0.981848479,"GP","light","M602a","M6",0.684029984448626,300.22756725,0.61751469041499,0.0665152940336369
"163","M602a_2904","M602a",29,"T2",28.68143306,0.973433558,"GP","light","M602a","M6",0.679774948465087,301.83143306,0.640339057288117,0.0394358911769706
"164","M602a_3006","M602a",30,"T2",29.57192266,0.448460248,"GP","light","M602a","M6",0.370501094288381,302.72192266,0.651719636935901,-0.281218542647521
"165","M602a_3102","M602a",31,"T2",30.24488705,1.111211508,"GP","light","M602a","M6",0.747261957120503,303.39488705,0.657560788748016,0.0897011683724874
"166","M602a_3203","M602a",32,"T2",31.30394894,0.927342878,"GP","light","M602a","M6",0.656142307179434,304.45394894,0.645794519155434,0.0103477880240003
"167","M602a_3305","M602a",33,"T2",32.2924029,0.569398327,"GP","light","M602a","M6",0.450692314698179,305.4424029,0.534528153539302,-0.0838358388411233
"168","M602a_3406","M602a",34,"T2",33.19552568,0.205398307,"GP","light","M602a","M6",0.186810057552796,306.34552568,0.138684269374434,0.0481257881783617
"169","M602b_2706","M602b",27,"T2",26.37300328,0.68033324,"GP","light","M602b","M6",0.518992130887848,299.52300328,0.607265307088699,-0.0882731762008514
"170","M602b_2802","M602b",28,"T2",27.16379897,0.827677008,"GP","light","M602b","M6",0.603045765954099,300.31379897,0.618763931893893,-0.0157181659397937
"171","M602b_2903","M602b",29,"T2",28.40655733,0.968108591,"GP","light","M602b","M6",0.677072975461451,301.55655733,0.636529045040183,0.0405439304212676
"172","M602b_3005","M602b",30,"T2",29.19965464,0.496145071,"GP","light","M602b","M6",0.40289184744433,302.34965464,0.647224063087994,-0.244332215643664
"173","M602b_3101","M602b",31,"T2",30.42266533,1.173485921,"GP","light","M602b","M6",0.776332293854992,303.57266533,0.658163924626463,0.118168369228529
"174","M602b_3202","M602b",32,"T2",31.30294727,1.05291605,"GP","light","M602b","M6",0.719261245822251,304.45294727,0.645833595545932,0.0734276502763187
"175","M602b_3304","M602b",33,"T2",32.34450075,0.631684981,"GP","light","M602b","M6",0.489613211561893,305.49450075,0.522175069781873,-0.0325618582199798
"176","M602b_3405","M602b",34,"T2",33.05790688,0.249823551,"GP","light","M602b","M6",0.223002382150312,306.20790688,0.228751841982981,-0.00574945983266914
"177","M602c_2705","M602c",27,"T2",26.37971919,0.923676793,"GP","light","M602c","M6",0.65423835112588,299.52971919,0.607363314584132,0.046875036541748
"178","M602c_2801","M602c",28,"T2",27.2263183,1.02446217,"GP","light","M602c","M6",0.705304070220159,300.3763183,0.619668803060257,0.0856352671599021
