fragment.ID.full,individual.ID,temp.Cat,treatment,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID,genotype
M602c_3201,M602c,32,T2,31.17822921,0.669730716,NP,light,M602c,M6
M602c_3303,M602c,33,T2,32.32113075,0.225675095,NP,light,M602c,M6
M602c_3404,M602c,34,T2,33.07969292,-0.207233688,NP,light,M602c,M6
M602d_2703,M602d,27,T2,26.43874085,0.468997047,NP,light,M602d,M6
M602d_2805,M602d,28,T2,27.35874233,0.45039183,NP,light,M602d,M6
M602d_2906,M602d,29,T2,28.20061084,0.342280445,NP,light,M602d,M6
M602d_3002,M602d,30,T2,29.38550441,0.575597198,NP,light,M602d,M6
M602d_3104,M602d,31,T2,29.9710565,0.681706234,NP,light,M602d,M6
M602d_3205,M602d,32,T2,31.39725609,0.396382874,NP,light,M602d,M6
M602d_3301,M602d,33,T2,32.35668305,0.362019086,NP,light,M602d,M6
M602d_3402,M602d,34,T2,33.0867253,-0.13749772,NP,light,M602d,M6
M603a_2704,M603a,27,T3,26.50516698,0.529891265,NP,light,M603a,M6
M603a_2806,M603a,28,T3,27.21121343,0.421861051,NP,light,M603a,M6
M603a_2901,M603a,29,T3,28.32433384,0.732565871,NP,light,M603a,M6
M603a_3003,M603a,30,T3,29.2507284,0.495055932,NP,light,M603a,M6
M603a_3105,M603a,31,T3,30.06730616,0.580049599,NP,light,M603a,M6
M603a_3206,M603a,32,T3,31.28828068,0.183834891,NP,light,M603a,M6
M603a_3302,M603a,33,T3,32.52109016,0.391157229,NP,light,M603a,M6
M603a_3403,M603a,34,T3,33.21544359,-0.013687418,NP,light,M603a,M6
M603b_2706,M603b,27,T3,26.37612772,0.346260188,NP,light,M603b,M6
M603b_2801,M603b,28,T3,27.06528221,0.399228655,NP,light,M603b,M6
M603b_2903,M603b,29,T3,28.45515226,0.525040005,NP,light,M603b,M6
M603b_3004,M603b,30,T3,29.28526478,0.134739179,NP,light,M603b,M6
M603b_3106,M603b,31,T3,29.94601464,0.269718375,NP,light,M603b,M6
