individual.ID,temp.Cat,treatment,Temp.C,genotype,Pnet_umol.cm2.hr,Rdark_umol.cm2.hr,GP_umol.cm2.hr
M601b,34,T1,32.94159232,M6,-0.115837454,-0.452715344,0.33687789
M601c,27,T1,26.37012921,M6,0.544063104,-0.377137894,0.921200998
M601c,28,T1,27.32618607,M6,0.440438456,-0.457697501,0.898135957
M601c,29,T1,28.23460825,M6,0.96023634,-0.493781856,1.454018196
M601c,30,T1,29.35773685,M6,0.518347571,-0.559251354,1.077598925
M601c,31,T1,29.9536235,M6,0.680128127,-0.56351531,1.243643437
M601c,32,T1,31.15365516,M6,0.130609466,-0.561626015,0.692235481
M601c,33,T1,32.61186898,M6,0.419443791,-0.408554424,0.827998215
M601c,34,T1,33.12428359,M6,0.086752982,-0.22305238,0.309805362
M601d,27,T1,26.40437636,M6,0.488190034,-0.355300849,0.843490883
M601d,28,T1,27.18762583,M6,0.525021387,-0.40359398,0.928615367
M601d,29,T1,28.41615608,M6,0.755850897,-0.405437754,1.161288651
M601d,30,T1,29.37701222,M6,0.232654073,-0.467144247,0.69979832
M601d,31,T1,29.98782707,M6,0.431459376,-0.465824088,0.897283464
M601d,32,T1,31.33169213,M6,0.737366309,-0.447238309,1.184604618
M601d,33,T1,32.49237472,M6,0.467501159,-0.314836574,0.782337733
M601d,34,T1,33.14150519,M6,0.022030405,-0.251238788,0.273269193
M602a,27,T2,26.43866805,M6,0.4099111,-0.461592658,0.871503758
M602a,28,T2,27.07756725,M6,0.524480107,-0.457368372,0.981848479
M602a,29,T2,28.68143306,M6,0.531648215,-0.441785343,0.973433558
M602a,30,T2,29.57192266,M6,0.043718913,-0.404741334,0.448460247
M602a,31,T2,30.24488705,M6,0.661247815,-0.449963694,1.111211509
M602a,32,T2,31.30394894,M6,0.550126205,-0.377216673,0.927342878
M602a,33,T2,32.2924029,M6,0.21940574,-0.349992586,0.569398326
M602a,34,T2,33.19552568,M6,-0.111797858,-0.317196165,0.205398307
M602b,27,T2,26.37300328,M6,0.320793372,-0.359539869,0.680333241
M602b,28,T2,27.16379897,M6,0.444140244,-0.383536764,0.827677008
M602b,29,T2,28.40655733,M6,0.569412779,-0.398695812,0.968108591
M602b,30,T2,29.19965464,M6,0.15570674,-0.340438331,0.496145071
M602b,31,T2,30.42266533,M6,0.698312837,-0.475173084,1.173485921
M602b,32,T2,31.30294727,M6,0.60844622,-0.44446983,1.05291605
M602b,33,T2,32.34450075,M6,0.268622065,-0.363062916,0.631684981
M602b,34,T2,33.05790688,M6,-0.072364035,-0.322187586,0.249823551
M602c,27,T2,26.37971919,M6,0.524468917,-0.399207876,0.923676793
M602c,28,T2,27.2263183,M6,0.527592025,-0.496870145,1.02446217
M602c,29,T2,28.49684891,M6,0.567319751,-0.536706055,1.104025806
M602c,30,T2,29.3376388,M6,0.158441065,-0.496401958,0.654843023
M602c,31,T2,30.07178241,M6,0.259948792,-0.517309167,0.777257959
M602c,32,T2,31.17822921,M6,0.669730716,-0.501683457,1.171414173
M602c,33,T2,32.32113075,M6,0.225675095,-0.382088416,0.607763511
M602c,34,T2,33.07969292,M6,-0.207233688,-0.422913952,0.215680264
M602d,27,T2,26.43874085,M6,0.468997047,-0.419678159,0.888675206
M602d,28,T2,27.35874233,M6,0.45039183,-0.374415962,0.824807792
M602d,29,T2,28.20061084,M6,0.342280445,-0.436978665,0.77925911
M602d,30,T2,29.38550441,M6,0.575597198,-0.460820005,1.036417203
M602d,31,T2,29.9710565,M6,0.681706234,-0.468484404,1.150190638
M602d,32,T2,31.39725609,M6,0.396382874,-0.473329399,0.869712273
M602d,33,T2,32.35668305,M6,0.362019086,-0.483477006,0.845496092
M602d,34,T2,33.0867253,M6,-0.13749772,-0.352023131,0.214525411
M603a,27,T3,26.50516698,M6,0.529891265,-0.377079522,0.906970787
M603a,28,T3,27.21121343,M6,0.421861051,-0.473666866,0.895527917
M603a,29,T3,28.32433384,M6,0.732565871,-0.397511841,1.130077712
M603a,30,T3,29.2507284,M6,0.495055932,-0.542728052,1.037783984
M603a,31,T3,30.06730616,M6,0.580049599,-0.484429643,1.064479242
M603a,32,T3,31.28828068,M6,0.183834891,-0.393894698,0.577729589
M603a,33,T3,32.52109016,M6,0.391157229,-0.31170581,0.702863039
