"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type","species"
"2266",293.529002301928,0.83956690875666,0.994148682520323,0.905627471920962,"SA2","shallow","GP","PAST"
"2267",293.599106250723,0.844992275687123,0.994298702939059,0.908875513515445,"SA2","shallow","GP","PAST"
"2268",293.669210199518,0.850393407748839,0.994447440960719,0.912104414721744,"SA2","shallow","GP","PAST"
"2269",293.739314148313,0.855769843374257,0.994594854902767,0.91531383298326,"SA2","shallow","GP","PAST"
"2270",293.809418097108,0.861121111940869,0.994740901647421,0.918503419689693,"SA2","shallow","GP","PAST"
"2271",293.879522045904,0.866446733639875,0.99488553659325,0.921672820101663,"SA2","shallow","GP","PAST"
"2272",293.949625994699,0.871746219344931,0.995028713605177,0.924821673275679,"SA2","shallow","GP","PAST"
"2273",294.019729943494,0.877019070481153,0.995718377662408,0.927949611989533,"SA2","shallow","GP","PAST"
"2274",294.089833892289,0.882264778894436,0.996987066145294,0.931056262668164,"SA2","shallow","GP","PAST"
"2275",294.159937841084,0.887482826721273,0.99930421706366,0.934141245310104,"SA2","shallow","GP","PAST"
"2276",294.23004178988,0.89267268625915,1.00159615782434,0.937204173414549,"SA2","shallow","GP","PAST"
"2277",294.300145738675,0.897833819837695,1.00386252269202,0.940244653909162,"SA2","shallow","GP","PAST"
"2278",294.37024968747,0.902965679690705,1.00638186423112,0.943262287078678,"SA2","shallow","GP","PAST"
"2279",294.440353636265,0.9080677078292,1.00887288990908,0.94625666649439,"SA2","shallow","GP","PAST"
"2280",294.51045758506,0.913052347893402,1.01133500069761,0.949227378944634,"SA2","shallow","GP","PAST"
"2281",294.580561533855,0.917589806575371,1.01376777597798,0.95217400436634,"SA2","shallow","GP","PAST"
"2282",294.650665482651,0.922099868938201,1.01617079040371,0.955096115777743,"SA2","shallow","GP","PAST"
"2283",294.720769431446,0.926452772122863,1.01854361390834,0.957993279212388,"SA2","shallow","GP","PAST"
"2284",294.790873380241,0.929750150530979,1.02088581171578,0.960865053654491,"SA2","shallow","GP","PAST"
"2285",294.860977329036,0.933016977374079,1.02319694435301,0.963710990975786,"SA2","shallow","GP","PAST"
"2286",294.931081277831,0.936252778411754,1.02547656766536,0.966530635873971,"SA2","shallow","GP","PAST"
"2287",295.001185226626,0.939457073042613,1.02772423283438,0.969323525812842,"SA2","shallow","GP","PAST"
"2288",295.071289175422,0.942629374279235,1.02993948639837,0.972089190964267,"SA2","shallow","GP","PAST"
"2289",295.141393124217,0.945769188725587,1.03212187027564,0.974827154152094,"SA2","shallow","GP","PAST"
"2290",295.211497073012,0.948876016556973,1.03427092179063,0.977536930798115,"SA2","shallow","GP","PAST"
"2291",295.281601021807,0.9519493515027,1.03638617370281,0.980218028870248,"SA2","shallow","GP","PAST"
"2292",295.351704970602,0.954988680831526,1.0384671542386,0.982869948833025,"SA2","shallow","GP","PAST"
"2293",295.421808919398,0.957993485340044,1.04051338712626,0.985492183600547,"SA2","shallow","GP","PAST"
"2294",295.491912868193,0.960963239344117,1.04252439163385,0.988084218492032,"SA2","shallow","GP","PAST"
"2295",295.562016816988,0.96301668629422,1.04449968261038,0.990645531190114,"SA2","shallow","GP","PAST"
"2296",295.632120765783,0.964916777893313,1.04643877053003,0.993175591702017,"SA2","shallow","GP","PAST"
