"","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","genotype"
"505","M50Cd","31","C","30.3813722654428","2.67079688989662","NP","light","M50Cd","M5"
"507","M50Cd","32","C","31.3222323454124","2.7027913827172","NP","light","M50Cd","M5"
"509","M50Cd","33","C","32.4530714520948","1.21544503312535","NP","light","M50Cd","M5"
"511","M50Cd","34","C","33.1368289464696","-0.276558838139923","NP","light","M50Cd","M5"
"513","M601a","27","T1","26.4091111380301","0.460270626412608","NP","light","M601a","M6"
"515","M601a","28","T1","27.2908921911942","0.397767748838162","NP","light","M601a","M6"
"517","M601a","29","T1","28.5658202302162","0.681685244569","NP","light","M601a","M6"
"519","M601a","30","T1","29.3246835314754","0.476281138618765","NP","light","M601a","M6"
"521","M601a","31","T1","30.0994850693887","0.648317848837085","NP","light","M601a","M6"
"523","M601a","32","T1","31.3905793091626","0.933385621382085","NP","light","M601a","M6"
"525","M601a","33","T1","32.3902492150342","0.548722648412218","NP","light","M601a","M6"
"527","M601a","34","T1","33.2334472684661","0.150926777978644","NP","light","M601a","M6"
"529","M601b","27","T1","26.4463233202281","0.663930939071807","NP","light","M601b","M6"
"531","M601b","28","T1","27.2364953703601","0.751172284195031","NP","light","M601b","M6"
"533","M601b","29","T1","28.6647549491343","0.84386732039905","NP","light","M601b","M6"
"535","M601b","30","T1","29.3024863894885","0.191654648239159","NP","light","M601b","M6"
"537","M601b","31","T1","30.2721172779481","0.965872211100952","NP","light","M601b","M6"
"539","M601b","32","T1","31.3384850983525","0.863433541311783","NP","light","M601b","M6"
"541","M601b","33","T1","32.3340657883843","0.443292773850872","NP","light","M601b","M6"
"543","M601b","34","T1","32.9415923199533","-0.115837453532364","NP","light","M601b","M6"
"545","M601c","27","T1","26.3701292148205","0.544063103798425","NP","light","M601c","M6"
"547","M601c","28","T1","27.3261860745739","0.440438456359745","NP","light","M601c","M6"
"549","M601c","29","T1","28.2346082517606","0.960236339524118","NP","light","M601c","M6"
"551","M601c","30","T1","29.357736848897","0.518347570987825","NP","light","M601c","M6"
"553","M601c","31","T1","29.9536234982982","0.680128127246461","NP","light","M601c","M6"
"555","M601c","32","T1","31.1536551645031","0.130609465706417","NP","light","M601c","M6"
"557","M601c","33","T1","32.6118689834972","0.419443790746913","NP","light","M601c","M6"
"559","M601c","34","T1","33.1242835937514","0.0867529822292862","NP","light","M601c","M6"
"561","M601d","27","T1","26.404376357827","0.488190034091966","NP","light","M601d","M6"
"563","M601d","28","T1","27.1876258333165","0.525021387268194","NP","light","M601d","M6"
"565","M601d","29","T1","28.416156079239","0.755850896609801","NP","light","M601d","M6"
"567","M601d","30","T1","29.3770122169036","0.232654072592421","NP","light","M601d","M6"
"569","M601d","31","T1","29.9878270705161","0.431459376011494","NP","light","M601d","M6"
"571","M601d","32","T1","31.3316921307449","0.737366308833573","NP","light","M601d","M6"
"573","M601d","33","T1","32.4923747217784","0.467501158678903","NP","light","M601d","M6"
"575","M601d","34","T1","33.141505192698","0.0220304053962875","NP","light","M601d","M6"
"577","M602a","27","T2","26.4386680535246","0.409911100423975","NP","light","M602a","M6"
"579","M602a","28","T2","27.0775672503849","0.524480107096864","NP","light","M602a","M6"
"581","M602a","29","T2","28.6814330640611","0.531648214856457","NP","light","M602a","M6"
"583","M602a","30","T2","29.5719226640619","0.0437189134998662","NP","light","M602a","M6"
"585","M602a","31","T2","30.2448870538158","0.661247814651014","NP","light","M602a","M6"
"587","M602a","32","T2","31.3039489391866","0.55012620540368","NP","light","M602a","M6"
"589","M602a","33","T2","32.2924028988973","0.219405740090557","NP","light","M602a","M6"
"591","M602a","34","T2","33.1955256814175","-0.111797857624024","NP","light","M602a","M6"
"593","M602b","27","T2","26.3730032801691","0.32079337152669","NP","light","M602b","M6"
"595","M602b","28","T2","27.1637989740495","0.444140244341655","NP","light","M602b","M6"
"597","M602b","29","T2","28.4065573319922","0.56941277859023","NP","light","M602b","M6"
"599","M602b","30","T2","29.1996546410872","0.155706739782595","NP","light","M602b","M6"
"601","M602b","31","T2","30.422665325942","0.69831283667871","NP","light","M602b","M6"
"603","M602b","32","T2","31.3029472688274","0.608446219674898","NP","light","M602b","M6"
"605","M602b","33","T2","32.3445007452968","0.268622064652927","NP","light","M602b","M6"
"607","M602b","34","T2","33.0579068829069","-0.0723640346355348","NP","light","M602b","M6"
"609","M602c","27","T2","26.3797191897157","0.524468916989227","NP","light","M602c","M6"
"611","M602c","28","T2","27.2263183025153","0.527592024767594","NP","light","M602c","M6"
"613","M602c","29","T2","28.4968489113528","0.567319751439838","NP","light","M602c","M6"
"615","M602c","30","T2","29.337638797426","0.158441065332105","NP","light","M602c","M6"
"617","M602c","31","T2","30.0717824106075","0.259948791559094","NP","light","M602c","M6"
"619","M602c","32","T2","31.1782292066089","0.669730715705325","NP","light","M602c","M6"
"621","M602c","33","T2","32.3211307532395","0.225675094517772","NP","light","M602c","M6"
"623","M602c","34","T2","33.0796929238202","-0.207233688257745","NP","light","M602c","M6"
"625","M602d","27","T2","26.4387408532041","0.468997047178441","NP","light","M602d","M6"
"627","M602d","28","T2","27.3587423301075","0.450391829802768","NP","light","M602d","M6"
"629","M602d","29","T2","28.200610843005","0.342280444819182","NP","light","M602d","M6"
"631","M602d","30","T2","29.3855044123732","0.575597198102909","NP","light","M602d","M6"
"633","M602d","31","T2","29.9710565029869","0.681706234341291","NP","light","M602d","M6"
"635","M602d","32","T2","31.3972560944215","0.39638287410568","NP","light","M602d","M6"
"637","M602d","33","T2","32.3566830489982","0.362019086168059","NP","light","M602d","M6"
"639","M602d","34","T2","33.0867252952345","-0.137497719580233","NP","light","M602d","M6"
"641","M603a","27","T3","26.5051669804797","0.529891264509104","NP","light","M603a","M6"
"643","M603a","28","T3","27.2112134261555","0.421861051057067","NP","light","M603a","M6"
"645","M603a","29","T3","28.324333842992","0.732565870623137","NP","light","M603a","M6"
"647","M603a","30","T3","29.2507283967853","0.495055932295105","NP","light","M603a","M6"
"649","M603a","31","T3","30.0673061576533","0.580049598723418","NP","light","M603a","M6"
"651","M603a","32","T3","31.2882806773697","0.183834890925094","NP","light","M603a","M6"
"653","M603a","33","T3","32.5210901559364","0.391157229418272","NP","light","M603a","M6"
"655","M603a","34","T3","33.2154435860027","-0.01368741757176","NP","light","M603a","M6"
"657","M603b","27","T3","26.3761277227582","0.34626018825692","NP","light","M603b","M6"
