"","genotype","temp.Cat","treatment","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"65","M6",27,"C",0.42081227525,4,0.0329822485724532,-0.38009497625,0.0124016489088673,0.8009072515,0.029605140416268,26.3595640925,0.0437035952396049
"66","M6",27,"T1",0.53911367575,4,0.0451047760111434,-0.38843795125,0.023586245751419,0.927551627,0.0680903810874613,26.4074850075,0.0155889333633816
"67","M6",27,"T2",0.431042609,4,0.0435607328164808,-0.4100046405,0.0212488505492372,0.8410472495,0.0546600517879473,26.4075328425,0.018049078531466
"68","M6",27,"T3",0.435162814,4,0.0489155017177076,-0.40230535925,0.0277887502171901,0.83746817325,0.0669658396459686,26.357646075,0.0560901903892403
"69","M6",28,"C",0.4825462345,4,0.0225339306024699,-0.42356147875,0.0101996472118844,0.90610771325,0.0322138873417456,27.220886435,0.0530500470526106
"70","M6",28,"T1",0.528599969,4,0.0787616466616036,-0.45975896325,0.033829092416294,0.98835893225,0.108541520528109,27.260299865,0.0304481139311801
"71","M6",28,"T2",0.4866510515,4,0.0227835844583293,-0.42804781075,0.0295152749814359,0.91469886225,0.0518091549066474,27.2066067125,0.0591731065702648
"72","M6",28,"T3",0.47096548575,4,0.0412292496887838,-0.4616710065,0.00695818164646869,0.93263649225,0.0443718295379435,27.149207745,0.0317482126996283
"73","M6",29,"C",0.63522186825,4,0.0140934392127474,-0.404585581,0.0233148528952627,1.03980744925,0.028671264287322,28.5093857675,0.105542598563526
"74","M6",29,"T1",0.8104099505,4,0.0599403055056604,-0.47750082525,0.0469910771579295,1.28791077575,0.095330596804924,28.4703348775,0.0937278872339246
"75","M6",29,"T2",0.5026652975,4,0.0541592828779418,-0.45354146875,0.0293497976017771,0.95620676625,0.0668327248629977,28.446362535,0.0999105331971566
"76","M6",29,"T3",0.61059166725,4,0.0442257676337291,-0.42153010175,0.0189533613516012,1.032121769,0.0474114444137389,28.36590587,0.042729763278432
"77","M6",30,"C",0.2646621895,4,0.0900943536864175,-0.3989621245,0.01028487523701,0.663624314,0.0842523564540416,29.3013131475,0.0460177684774361
"78","M6",30,"T1",0.35473435775,4,0.0831872843042586,-0.51018755075,0.018912055375356,0.8649219085,0.0981698501737673,29.3404797475,0.0166469337394032
"79","M6",30,"T2",0.233365979,4,0.117165451762526,-0.425600407,0.0340844048189397,0.658966386,0.133325959135063,29.3736801275,0.0769327427780418
"80","M6",30,"T3",0.3655926515,4,0.151458299048197,-0.50603684525,0.0282206929616888,0.87162949675,0.179374971608878,29.140411775,0.0951958257708237
"81","M6",31,"C",0.4870329345,4,0.119128282522684,-0.44221167675,0.019811868803371,0.92924461125,0.113285904716201,30.0679321175,0.099687794380026
"82","M6",31,"T1",0.68144439075,4,0.109731032092984,-0.53004995125,0.0321518802268122,1.211494342,0.139455030051823,30.07826323,0.0717307003801989
"83","M6",31,"T2",0.5753039195,4,0.105391277283644,-0.47773258725,0.0142287767316518,1.05303650675,0.0928193248996838,30.1775978225,0.0993487723428611
"84","M6",31,"T3",0.5701602155,4,0.110984436472027,-0.48470392425,0.00878341379993193,1.05486413975,0.110766477088229,30.2256247975,0.130407755466254
